12,,,2033,,,JPN,,Mutou,Mutou,,,ラナンQ,mutou610poke,Link,https://twitter.com/Link,,,Mystic Water,,,Aguav Berry,,,Assault Vest,,,Grassy Seed,,,Sitrus Berry,,,Choice Scarf,,,https://pokepast.es/7b242838a42a1710,Yes,https://cdn.discordapp.com/attachments/1115863629896626237/1134568849270898768/IMG_9848.jpg,https://mutou610pokepoke.hatenablog.com/entry/2023/08/01/122453,https://twitter.com/mutou610poke/status/1686217285449687040?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,DHRM3H,Peaked 3rd on July 24,,Zapdos-Galar,Cresselia,Rillaboom,Palafin,Gholdengo,Ting-Lu,,Grassy Seed,Sitrus Berry,Aguav Berry,Mystic Water,Choice Scarf,Assault Vest,,Electric,Fairy,Fire,Water,Steel,Fairy,Electric,Fairy,Fire,Water,Steel,Fairy,5 Zapdos-Galar,7 Cresselia,3 Rillaboom,2 Palafin,8 Gholdengo,5 Ting-Lu,2 Palafin,3 Rillaboom,5 Ting-Lu,5 Zapdos-Galar,7 Cresselia,8 Gholdengo,Palafin,Water,Mystic Water,Rillaboom,Fire,Aguav Berry,Ting-Lu,Fairy,Assault Vest,Zapdos-Galar,Electric,Grassy Seed,Cresselia,Fairy,Sitrus Berry,Gholdengo,Steel,Choice Scarf,,,,,,,,,Palafin,Rillaboom,Ting-Lu,Zapdos-Galar,Cresselia,Gholdengo,,"Zapdos-Galar, Cresselia, Rillaboom, Palafin, Gholdengo, Ting-Lu"
13,,,2032,,,JPN,,Kurotama,Ryosuke Hamasato,,,くろたま,bale_tottenham,Link,https://twitter.com/Link,,,Choice Specs,,,Safety Goggles,,,Assault Vest,,,Choice Band,,,Sitrus Berry,,,Booster Energy,,,https://pokepast.es/769feca77b913d46,No,,,https://twitter.com/bale_tottenham/status/1686328819219865600?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,None,,,Flutter Mane,Urshifu-Rapid-Strike,Iron Hands,Landorus-Therian,Chi-Yu,Tornadus,,Booster Energy,Safety Goggles,Assault Vest,Choice Band,Choice Specs,Sitrus Berry,,Grass,Water,Grass,Water,Ghost,Ghost,Grass,Water,Grass,Water,Ghost,Ghost,9 Flutter Mane,2 Urshifu-Rapid-Strike,5 Iron Hands,6 Landorus-Therian,1 Chi-Yu,6 Tornadus,1 Chi-Yu,2 Urshifu-Rapid-Strike,5 Iron Hands,6 Landorus-Therian,6 Tornadus,9 Flutter Mane,Chi-Yu,Ghost,Choice Specs,Urshifu-Rapid-Strike,Water,Safety Goggles,Iron Hands,Grass,Assault Vest,Landorus-Therian,Water,Choice Band,Tornadus,Ghost,Sitrus Berry,Flutter Mane,Grass,Booster Energy,,,,,,,,,Chi-Yu,Urshifu-Rapid-Strike,Iron Hands,Landorus-Therian,Tornadus,Flutter Mane,,"Flutter Mane, Urshifu-Rapid-Strike, Iron Hands, Landorus-Therian, Chi-Yu, Tornadus"
14,,,2031,,,JPN,,CRYMAX,Kazuki Kobayashi,,,CRYMAX,sharuku_6242,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/sharuku_6242/status/1686661710990737408?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
15,,,2031,,,ENG,,JasePokemon,JasePokemon,,,Jason,JasePokemon,Link,https://twitter.com/Link,,,Flame Orb,,,Focus Sash,,,Rocky Helmet,,,Covert Cloak,,,Choice Scarf,,,Choice Specs,,,https://pokepast.es/e0ee594a6937f23f,Yes,https://pbs.twimg.com/media/F2aH2QyasAAGG7X?format=jpg&name=large,,https://twitter.com/JasePokemon/status/1686184493567348736?t=NAT91ZJOnXa76F64BEe9WQ&s=19,QRHD6C,,,Tornadus,Urshifu,Gholdengo,Maushold-Four,Cresselia,Ursaluna,,Covert Cloak,Focus Sash,Choice Specs,Rocky Helmet,Choice Scarf,Flame Orb,,Ghost,Dark,Steel,Flying,Fairy,Ghost,Ghost,Dark,Steel,Flying,Fairy,Ghost,6 Tornadus,5 Urshifu,8 Gholdengo,6 Maushold-Four,7 Cresselia,5 Ursaluna,5 Ursaluna,5 Urshifu,6 Maushold-Four,6 Tornadus,7 Cresselia,8 Gholdengo,Ursaluna,Ghost,Flame Orb,Urshifu,Dark,Focus Sash,Maushold-Four,Flying,Rocky Helmet,Tornadus,Ghost,Covert Cloak,Cresselia,Fairy,Choice Scarf,Gholdengo,Steel,Choice Specs,,,,,,,,,Ursaluna,Urshifu,Maushold-Four,Tornadus,Cresselia,Gholdengo,,"Tornadus, Urshifu, Gholdengo, Maushold-Four, Cresselia, Ursaluna"
16,,,2029,,,JPN,,Tomato,Tomato,,,トマト,waezzeisuhuyo3d,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,https://pokepast.es/b5fcfadc667fb3f5,Yes,,,https://twitter.com/waezzeisuhuyo3d/status/1686187195139604481?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,0T39MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
17,,,2028,,,JPN,,runa,runa,,,ルーナ,ru_na807,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/ru_na807/status/1686222575062659073?s=20,,,,Regidrago,,,,,,,,,,,,,,,,,,,,,,,,,,A Regidrago,-,-,-,-,-,-,-,-,-,-,A Regidrago,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,Regidrago,,,,,,,,,,,-,-,-,-,-,Regidrago,,Regidrago
18,,,2029,,,JPN,,DiMeteora,DiMeteora,,,マクスウェル,DiMeteora,Link,https://twitter.com/Link,,,Focus Sash,,,Leftovers,,,Sitrus Berry,,,Choice Scarf,,,Mental Herb,,,Life Orb,,,https://pokepast.es/bc99bafaa9e815b5,Yes,,,https://twitter.com/dimeteora/status/1686257073653456896?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,P4LP10,,,Chi-Yu,Flutter Mane,Tornadus,Landorus-Therian,Heatran,Gastrodon,,Focus Sash,Life Orb,Mental Herb,Choice Scarf,Leftovers,Sitrus Berry,,Ghost,Fairy,Ghost,Flying,Grass,Fairy,Ghost,Fairy,Ghost,Flying,Grass,Fairy,1 Chi-Yu,9 Flutter Mane,6 Tornadus,6 Landorus-Therian,1 Heatran,2 Gastrodon,1 Chi-Yu,1 Heatran,2 Gastrodon,6 Landorus-Therian,6 Tornadus,9 Flutter Mane,Chi-Yu,Ghost,Focus Sash,Heatran,Grass,Leftovers,Gastrodon,Fairy,Sitrus Berry,Landorus-Therian,Flying,Choice Scarf,Tornadus,Ghost,Mental Herb,Flutter Mane,Fairy,Life Orb,,,,,,,,,Chi-Yu,Heatran,Gastrodon,Landorus-Therian,Tornadus,Flutter Mane,,"Chi-Yu, Flutter Mane, Tornadus, Landorus-Therian, Heatran, Gastrodon"
19,,,2028,,,JPN,,Sarapoke0914,Sarapoke0914,,,ラル,Sarapoke0914,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/Sarapoke0914/status/1686185345744777216?s=20,,,,Bruxish,Chien-Pao,Urshifu,Tornadus,Gholdengo,Ursaluna,,,,,,,,,Water,Dark,Fighting,Flying,Steel,Ground,Water,Dark,Fighting,Flying,Steel,Ground,1 Bruxish,4 Chien-Pao,4 Urshifu,5 Tornadus,7 Gholdengo,4 Ursaluna,1 Bruxish,4 Chien-Pao,4 Ursaluna,4 Urshifu,5 Tornadus,7 Gholdengo,Bruxish,Water,,Chien-Pao,Dark,,Ursaluna,Ground,,Urshifu,Fighting,,Tornadus,Flying,,Gholdengo,Steel,,,,,,,,,,Bruxish,Chien-Pao,Ursaluna,Urshifu,Tornadus,Gholdengo,,"Bruxish, Chien-Pao, Urshifu, Tornadus, Gholdengo, Ursaluna"
20,,,2028,,,TWN,,runa,runa,,,理世紗路,ru_na807,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/ru_na807/status/1686222575062659073?s=20,,,,Regidrago,,,,,,,,,,,,,,,,,,,,,,,,,,A Regidrago,-,-,-,-,-,-,-,-,-,-,A Regidrago,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,Regidrago,,,,,,,,,,,-,-,-,-,-,Regidrago,,Regidrago
21,,,2027,,,JPN,,mariruri,mariruri,,,マリルリ,mariruripokemo2,Link,https://twitter.com/Link,,,Mystic Water,,,Rocky Helmet,,,Focus Sash,,,Assault Vest,,,Covert Cloak,,,Booster Energy,,,https://pokepast.es/60e2f4539ae2ff87,Yes,,,https://twitter.com/mariruripokemo2/status/1686217564391915520,V8DQ16,,,Chien-Pao,Flutter Mane,Iron Hands,Urshifu-Rapid-Strike,Tornadus,Amoonguss,,Focus Sash,Booster Energy,Assault Vest,Mystic Water,Covert Cloak,Rocky Helmet,,Ghost,Fairy,Grass,Water,Ghost,Water,Ghost,Fairy,Grass,Water,Ghost,Water,5 Chien-Pao,9 Flutter Mane,5 Iron Hands,2 Urshifu-Rapid-Strike,6 Tornadus,3 Amoonguss,2 Urshifu-Rapid-Strike,3 Amoonguss,5 Chien-Pao,5 Iron Hands,6 Tornadus,9 Flutter Mane,Urshifu-Rapid-Strike,Water,Mystic Water,Amoonguss,Water,Rocky Helmet,Chien-Pao,Ghost,Focus Sash,Iron Hands,Grass,Assault Vest,Tornadus,Ghost,Covert Cloak,Flutter Mane,Fairy,Booster Energy,,,,,,,,,Urshifu-Rapid-Strike,Amoonguss,Chien-Pao,Iron Hands,Tornadus,Flutter Mane,,"Chien-Pao, Flutter Mane, Iron Hands, Urshifu-Rapid-Strike, Tornadus, Amoonguss"
22,,,2026,,,ENG,,Jenkins,Jenkins,,,Jenkins,jenkins_vgc,Link,https://twitter.com/Link,,,Leftovers,,,Choice Specs,,,Focus Sash,,,Safety Goggles,,,Black Glasses,,,Booster Energy,,,https://pokepast.es/84192753e48de5b8,Yes,https://pbs.twimg.com/media/F2ad1jXW4AIYnL5?format=jpg&name=large,,https://twitter.com/jenkins_vgc/status/1686208657082519552?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,MGTFP7,,,Tatsugiri,Dondozo,Kleavor,Flutter Mane,Kingambit,Landorus-Therian,,Choice Specs,Leftovers,Focus Sash,Booster Energy,Black Glasses,Safety Goggles,,Steel,Grass,Ghost,Steel,Dark,Flying,Steel,Grass,Ghost,Steel,Dark,Flying,2 Tatsugiri,2 Dondozo,5 Kleavor,9 Flutter Mane,8 Kingambit,6 Landorus-Therian,2 Dondozo,2 Tatsugiri,5 Kleavor,6 Landorus-Therian,8 Kingambit,9 Flutter Mane,Dondozo,Grass,Leftovers,Tatsugiri,Steel,Choice Specs,Kleavor,Ghost,Focus Sash,Landorus-Therian,Flying,Safety Goggles,Kingambit,Dark,Black Glasses,Flutter Mane,Steel,Booster Energy,,,,,,,,,Dondozo,Tatsugiri,Kleavor,Landorus-Therian,Kingambit,Flutter Mane,,"Tatsugiri, Dondozo, Kleavor, Flutter Mane, Kingambit, Landorus-Therian"
23,,,2026,,,TWN,,DiMeteora,DiMeteora,,,麻婆豆腐定食,DiMeteora,Link,https://twitter.com/Link,,,Focus Sash,,,Leftovers,,,Sitrus Berry,,,Choice Scarf,,,Mental Herb,,,Life Orb,,,https://pokepast.es/bc99bafaa9e815b5,Yes,,,https://twitter.com/DiMeteora/status/1686256126382546944,P4LP10,,,Chi-Yu,Flutter Mane,Tornadus,Landorus-Therian,Heatran,Gastrodon,,Focus Sash,Life Orb,Mental Herb,Choice Scarf,Leftovers,Sitrus Berry,,Ghost,Fairy,Ghost,Flying,Grass,Fairy,Ghost,Fairy,Ghost,Flying,Grass,Fairy,1 Chi-Yu,9 Flutter Mane,6 Tornadus,6 Landorus-Therian,1 Heatran,2 Gastrodon,1 Chi-Yu,1 Heatran,2 Gastrodon,6 Landorus-Therian,6 Tornadus,9 Flutter Mane,Chi-Yu,Ghost,Focus Sash,Heatran,Grass,Leftovers,Gastrodon,Fairy,Sitrus Berry,Landorus-Therian,Flying,Choice Scarf,Tornadus,Ghost,Mental Herb,Flutter Mane,Fairy,Life Orb,,,,,,,,,Chi-Yu,Heatran,Gastrodon,Landorus-Therian,Tornadus,Flutter Mane,,"Chi-Yu, Flutter Mane, Tornadus, Landorus-Therian, Heatran, Gastrodon"
24,,,2025,,,JPN,,なぎさ,_rintya,,,なぎさ,_rintya,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/_rintya/status/1686220461485772800,,,,Urshifu,Flutter Mane,Iron Hands,Chien-Pao,Zapdos,Toxicroak,,,,,,,,,Fighting,Ghost,Fighting,Dark,Electric,Poison,Fighting,Ghost,Fighting,Dark,Electric,Poison,4 Urshifu,8 Flutter Mane,4 Iron Hands,4 Chien-Pao,3 Zapdos,4 Toxicroak,3 Zapdos,4 Chien-Pao,4 Iron Hands,4 Toxicroak,4 Urshifu,8 Flutter Mane,Zapdos,Electric,,Chien-Pao,Dark,,Iron Hands,Fighting,,Toxicroak,Poison,,Urshifu,Fighting,,Flutter Mane,Ghost,,,,,,,,,,Zapdos,Chien-Pao,Iron Hands,Toxicroak,Urshifu,Flutter Mane,,"Urshifu, Flutter Mane, Iron Hands, Chien-Pao, Zapdos, Toxicroak"
25,,,2023,,,JPN,,Junya,Junya,,,じゅにゃ,jun_poke918,Link,https://twitter.com/Link,,,Choice Scarf,,,Rocky Helmet,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,,Choice Band,,,https://pokepast.es/5a1d070811d9f688,No,,,https://twitter.com/jun_poke918/status/1686198774216138752?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,None,,,Dragonite,Chien-Pao,Tornadus,Urshifu-Rapid-Strike,Gholdengo,Amoonguss,,Choice Band,Focus Sash,Sitrus Berry,Choice Scarf,Leftovers,Rocky Helmet,,Normal,Ghost,Ghost,Water,Water,Water,Normal,Ghost,Ghost,Water,Water,Water,A Dragonite,5 Chien-Pao,6 Tornadus,2 Urshifu-Rapid-Strike,8 Gholdengo,3 Amoonguss,2 Urshifu-Rapid-Strike,3 Amoonguss,5 Chien-Pao,6 Tornadus,8 Gholdengo,A Dragonite,Urshifu-Rapid-Strike,Water,Choice Scarf,Amoonguss,Water,Rocky Helmet,Chien-Pao,Ghost,Focus Sash,Tornadus,Ghost,Sitrus Berry,Gholdengo,Water,Leftovers,Dragonite,Normal,Choice Band,,,,,,,,,Urshifu-Rapid-Strike,Amoonguss,Chien-Pao,Tornadus,Gholdengo,Dragonite,,"Dragonite, Chien-Pao, Tornadus, Urshifu-Rapid-Strike, Gholdengo, Amoonguss"
26,,,2023,,,JPN,,Apple, ,,,Apple, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
27,,,2021,,,JPN,,ななみ,feb_po,,,ななみ,feb_po,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,https://twitter.com/feb_po/status/1686275420956786688?s=20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
28,,,2019,,,JPN,,Tomato,Tomato,,,とまと,waezzeisuhuyo3d,Link,https://twitter.com/Link,,,Chople Berry,,,Assault Vest,,,Focus Sash,,,Life Orb,,,Rocky Helmet,,,Choice Specs,,,https://pokepast.es/b5fcfadc667fb3f5,Yes,,,https://twitter.com/waezzeisuhuyo3d/status/1686187195139604481?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,0T39MV,,,Heatran,Rillaboom,Tornadus,Flutter Mane,Chien-Pao,Urshifu,,Chople Berry,Assault Vest,Rocky Helmet,Choice Specs,Focus Sash,Life Orb,,Grass,Rock,Ghost,Water,Ghost,Poison,Grass,Rock,Ghost,Water,Ghost,Poison,1 Heatran,3 Rillaboom,6 Tornadus,9 Flutter Mane,5 Chien-Pao,5 Urshifu,1 Heatran,3 Rillaboom,5 Chien-Pao,5 Urshifu,6 Tornadus,9 Flutter Mane,Heatran,Grass,Chople Berry,Rillaboom,Rock,Assault Vest,Chien-Pao,Ghost,Focus Sash,Urshifu,Poison,Life Orb,Tornadus,Ghost,Rocky Helmet,Flutter Mane,Water,Choice Specs,,,,,,,,,Heatran,Rillaboom,Chien-Pao,Urshifu,Tornadus,Flutter Mane,,"Heatran, Rillaboom, Tornadus, Flutter Mane, Chien-Pao, Urshifu"
29,,,2018,,,CHN,,崔崔弟, ,,,崔崔弟, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
30,,,2016,,,JPN,,おせり, ,,,おせり, ,Link,https://twitter.com/Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,-,Tera,Item,,,,,,,,,-,-,-,-,-,-,,
