9,#5,-,9 - 1,9,1,USA,,George Tifverman,George Tifverman,,,Tiff Curry,SudokuMasta,SudokuMasta,https://twitter.com/SudokuMasta,,,Safety Goggles,,,Leftovers,,,Focus Sash,,,Loaded Dice,,,Assault Vest,,,Psychic Seed,80,$250,View,https://pokepast.es/0db83f06272feb10,https://media.discordapp.net/attachments/1041626109680295966/1075823370198855742/Orlando_George_Tifverman_3N1HJD.jpg,https://youtu.be/HEoRebncDqQ,https://twitter.com/SudokuMasta/status/1625206291764224000,,Ax: Twitter is SudokuMasta,,Tatsugiri,Indeedee-F,Dondozo,Iron Hands,Brute Bonnet,Armarouge,,Focus Sash,Psychic Seed,Leftovers,Assault Vest,Loaded Dice,Safety Goggles,,Dragon,Fairy,Steel,Grass,Fairy,Dark,Dragon,Fairy,Steel,Grass,Fairy,Dark,1 Tatsugiri,5 Indeedee-F,1 Dondozo,4 Iron Hands,2 Brute Bonnet,0 Armarouge,0 Armarouge,1 Dondozo,1 Tatsugiri,2 Brute Bonnet,4 Iron Hands,5 Indeedee-F,Armarouge,Dark,Safety Goggles,Dondozo,Steel,Leftovers,Tatsugiri,Dragon,Focus Sash,Brute Bonnet,Fairy,Loaded Dice,Iron Hands,Grass,Assault Vest,Indeedee-F,Fairy,Psychic Seed,,,,,,,,,Armarouge,Dondozo,Tatsugiri,Brute Bonnet,Iron Hands,Indeedee-F,,"Tatsugiri, Indeedee-F (Indeedee-Female), Dondozo, Iron Hands, Brute Bonnet, Armarouge",,Justin Burns,343,Kurt Imhoff,17,Chad Temple,34,Andrew Zheng,180,Thomas Hayden,77,Luke Alkire,50,Chongjun Peng,14,Jonathan Quiñones,21,Kyle Livinghouse,7,Ian McLaughlin,6
10,#8,Yes,9 - 1,9,1,USA,,Aditya Subramanian,Aditya Subramanian,,,ck49,adisubra,adisubra,https://twitter.com/adisubra,,,Safety Goggles,,,Booster Energy,,,Sitrus Berry,,,Clear Amulet,,,Leftovers,,,Focus Sash,80,$250,View,https://pokepast.es/00a243486434470c,https://media.discordapp.net/attachments/1041626109680295966/1073700289040896010/Orlando_Aditya_Subramanian_Nick_Navarre_FG6SWV.jpg,https://youtu.be/AtpuZTzUPwQ,https://twitter.com/adisubra/status/1622267391446241286,,Ax: Sweden for VR  (played '21 WCOP),,Iron Hands,Arcanine,Flutter Mane,Iron Bundle,Gothitelle,Amoonguss,,Clear Amulet,Safety Goggles,Focus Sash,Booster Energy,Leftovers,Sitrus Berry,,Fire,Dark,Ghost,Water,Steel,Water,Fire,Dark,Ghost,Water,Steel,Water,4 Iron Hands,0 Arcanine,8 Flutter Mane,1 Iron Bundle,6 Gothitelle,2 Amoonguss,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,6 Gothitelle,8 Flutter Mane,Arcanine,Dark,Safety Goggles,Iron Bundle,Water,Booster Energy,Amoonguss,Water,Sitrus Berry,Iron Hands,Fire,Clear Amulet,Gothitelle,Steel,Leftovers,Flutter Mane,Ghost,Focus Sash,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Gothitelle,Flutter Mane,,"Iron Hands, Arcanine, Flutter Mane, Iron Bundle, Gothitelle, Amoonguss",,Anthony DiNatale,175,Jacob Deutsch,72,William Cadzow,80,Nathan Ortiz,30,Xavier Méndez,69,Christopher Canway,54,Logan Phillips,18,John Mills,20,Calvin Nisson,14,ALEX UNDERHILL,5
11,#11,locked,8 - 2,8,2,USA,,Jonathan Melendez,Jonathan Melendez,,,Wacka,wackapuff,wackapuff,https://twitter.com/wackapuff,,,Covert Cloak,,,Sitrus Berry,,,Assault Vest,,,Focus Sash,,,Psychic Seed,,,Life Orb,80,$250,View,https://pokepast.es/750e89269ae40d6c,https://media.discordapp.net/attachments/1041626109680295966/1075822820849876992/Orlando_Jonathan_Melendez_GVH3PM.jpg,https://youtu.be/lqvG22TMVbY,https://twitter.com/WackaPuff/status/1625562382884868107,,Ax: Guatemala for VR (played '22 WCOP),,Armarouge,Brute Bonnet,Indeedee-F,Flutter Mane,Iron Hands,Stonjourner,,Covert Cloak,Sitrus Berry,Psychic Seed,Life Orb,Assault Vest,Focus Sash,,Grass,Fairy,Fairy,Fairy,Grass,Rock,Grass,Fairy,Fairy,Fairy,Grass,Rock,0 Armarouge,2 Brute Bonnet,5 Indeedee-F,8 Flutter Mane,4 Iron Hands,4 Stonjourner,0 Armarouge,2 Brute Bonnet,4 Iron Hands,4 Stonjourner,5 Indeedee-F,8 Flutter Mane,Armarouge,Grass,Covert Cloak,Brute Bonnet,Fairy,Sitrus Berry,Iron Hands,Grass,Assault Vest,Stonjourner,Rock,Focus Sash,Indeedee-F,Fairy,Psychic Seed,Flutter Mane,Fairy,Life Orb,,,,,,,,,Armarouge,Brute Bonnet,Iron Hands,Stonjourner,Indeedee-F,Flutter Mane,,"Armarouge, Brute Bonnet, Indeedee-F (Indeedee-Female), Flutter Mane, Iron Hands, Stonjourner",,Connor Keyes,105,Shiliang Tang,171,Jens Soto,2,Nick Navarre,3,Luke Alkire,4,Kyle Livinghouse,9,James Evans,25,Alberto Lara,14,Marcus Dion,13,Luka Trejgut,24
12,#13,Yes,8 - 2,8,2,USA,,Kyle Livinghouse,Kyle Livinghouse,,,Animus,AnimusVGC,AnimusVGC,https://twitter.com/AnimusVGC,,,Leftovers,,,Booster Energy,,,Focus Sash,,,Safety Goggles,,,Covert Cloak,,,Assault Vest,80,$250,View,https://pokepast.es/aa3e5e3130df875c,https://pbs.twimg.com/media/FotrslcXwAMLz4C?format=jpg&name=large,https://youtu.be/ojhfSND5DnA,https://twitter.com/AnimusVGC/status/1624510563177971713,,,,Dragonite,Volcarona,Maushold,Great Tusk,Iron Bundle,Gholdengo,,Assault Vest,Leftovers,Safety Goggles,Focus Sash,Booster Energy,Covert Cloak,,Flying,Water,Ghost,Ground,Ghost,Steel,Flying,Water,Ghost,Ground,Ghost,Steel,9 Dragonite,0 Volcarona,5 Maushold,4 Great Tusk,1 Iron Bundle,7 Gholdengo,0 Volcarona,1 Iron Bundle,4 Great Tusk,5 Maushold,7 Gholdengo,9 Dragonite,Volcarona,Water,Leftovers,Iron Bundle,Ghost,Booster Energy,Great Tusk,Ground,Focus Sash,Maushold,Ghost,Safety Goggles,Gholdengo,Steel,Covert Cloak,Dragonite,Flying,Assault Vest,,,,,,,,,Volcarona,Iron Bundle,Great Tusk,Maushold,Gholdengo,Dragonite,,"Dragonite, Volcarona, Maushold, Great Tusk, Iron Bundle, Gholdengo",,Shayne Diaz,339,Dylan Salvanera,136,Alex Rubinoff,97,Joshua Robinson,31,Jakob Swilley,15,Jonathan Melendez,9,Adrien Hurley,3,Emilio Forbes,2,George Tifverman,7,Logan Phillips,16
13,#15,Yes,8 - 2,8,2,CHN,,Wu Yichun,Yichun Wu,,,威廉,WilliamTheShuai,WilliamTheShuai,https://twitter.com/WilliamTheShuai,,,Safety Goggles,,,Sharp Beak,,,Covert Cloak,,,Life Orb,,,Assault Vest,,,Booster Energy,80,$250,View,https://pokepast.es/600795ee95786629,No EVs,https://twitter.com/WilliamTheShuai/status/1622784502127886338,https://twitter.com/WilliamTheShuai/status/1622281879184461831,,,,Iron Bundle,Arcanine,Flutter Mane,Talonflame,Tyranitar,Great Tusk,,Covert Cloak,Safety Goggles,Booster Energy,Sharp Beak,Assault Vest,Life Orb,,Ice,Water,Steel,Ghost,Flying,Ground,Ice,Water,Steel,Ghost,Flying,Ground,1 Iron Bundle,0 Arcanine,8 Flutter Mane,0 Talonflame,4 Tyranitar,4 Great Tusk,0 Arcanine,0 Talonflame,1 Iron Bundle,4 Great Tusk,4 Tyranitar,8 Flutter Mane,Arcanine,Water,Safety Goggles,Talonflame,Ghost,Sharp Beak,Iron Bundle,Ice,Covert Cloak,Great Tusk,Ground,Life Orb,Tyranitar,Flying,Assault Vest,Flutter Mane,Steel,Booster Energy,,,,,,,,,Arcanine,Talonflame,Iron Bundle,Great Tusk,Tyranitar,Flutter Mane,,"Iron Bundle, Arcanine, Flutter Mane, Talonflame, Tyranitar, Great Tusk",,Andrew Ding,188,James Scott,94,Adam Baltrusaitis,70,Thomas Hayden,14,Foster Hughes,3,Michael Spinetta-McCarthy,12,Bhushan Thumsi,4,Lorenzo Arce,11,Allan Martinez,9,Jake Magier,34
14,#17,Yes,8 - 2,8,2,USA,,Allan Martinez,Allan Martinez,,,Mando,MandoVGC,MandoVGC,https://twitter.com/MandoVGC,,,Leftovers,,,Covert Cloak,,,Safety Goggles,,,Light Clay,,,Booster Energy,,,Choice Band,80,$250,View,https://pokepast.es/3a3796eb1b17553b,No EVs,-,https://twitter.com/MandoVGC/status/1622252408763027463,,,,Flutter Mane,Sableye,Amoonguss,Dragonite,Iron Hands,Volcarona,,Booster Energy,Light Clay,Covert Cloak,Choice Band,Safety Goggles,Leftovers,,Ghost,Grass,Fire,Flying,Fire,Water,Ghost,Grass,Fire,Flying,Fire,Water,8 Flutter Mane,5 Sableye,2 Amoonguss,9 Dragonite,4 Iron Hands,0 Volcarona,0 Volcarona,2 Amoonguss,4 Iron Hands,5 Sableye,8 Flutter Mane,9 Dragonite,Volcarona,Water,Leftovers,Amoonguss,Fire,Covert Cloak,Iron Hands,Fire,Safety Goggles,Sableye,Grass,Light Clay,Flutter Mane,Ghost,Booster Energy,Dragonite,Flying,Choice Band,,,,,,,,,Volcarona,Amoonguss,Iron Hands,Sableye,Flutter Mane,Dragonite,,"Flutter Mane, Sableye, Amoonguss, Dragonite, Iron Hands, Volcarona",,Chris Medlin,186,Jack Fuld,52,Selina OptHof,84,Luka Trejgut,11,Kevin Sidonio,24,Chongjun Peng,4,Anton Galkin,6,Aaron Traylor,9,Yichun Wu,9,Toler Webb,4
15,#23,Yes,8 - 2,8,2,USA,,Arbin Tumaneng,Arbin Tumaneng,,,jUN,CYPHeRtheKID,CYPHeRtheKID,https://twitter.com/CYPHeRtheKID,,,Weakness Policy,,,Covert Cloak,,,Sitrus Berry,,,Safety Goggles,,,Focus Sash,,,Booster Energy,80,$250,View,https://pokepast.es/cda8f72378fec587,No EVs,-,https://twitter.com/CYPHeRtheKID/status/1622782107612327936,,Ax: Philippines for VR (played '22 WCOP),,Flutter Mane,Roaring Moon,Indeedee-F,Amoonguss,Armarouge,Iron Hands,,Focus Sash,Booster Energy,Safety Goggles,Covert Cloak,Weakness Policy,Sitrus Berry,,Fairy,Flying,Fairy,Dark,Grass,Grass,Fairy,Flying,Fairy,Dark,Grass,Grass,8 Flutter Mane,9 Roaring Moon,5 Indeedee-F,2 Amoonguss,0 Armarouge,4 Iron Hands,0 Armarouge,2 Amoonguss,4 Iron Hands,5 Indeedee-F,8 Flutter Mane,9 Roaring Moon,Armarouge,Grass,Weakness Policy,Amoonguss,Dark,Covert Cloak,Iron Hands,Grass,Sitrus Berry,Indeedee-F,Fairy,Safety Goggles,Flutter Mane,Fairy,Focus Sash,Roaring Moon,Flying,Booster Energy,,,,,,,,,Armarouge,Amoonguss,Iron Hands,Indeedee-F,Flutter Mane,Roaring Moon,,"Flutter Mane, Roaring Moon, Indeedee-F (Indeedee-Female), Amoonguss, Armarouge, Iron Hands",,Isabel Lee,51,Quentin Raines,60,Eric Santana,10,Don Czech,29,James Evans,21,Mohammed Faizan,62,Danish Ali,31,Chad Temple,22,Michael Busse,27,Calvin Nisson,32
16,#30,locked,8 - 2,8,2,USA,,Brendan Zheng,Brendan Zheng,,,Doug,Babbytron,Babbytron,https://twitter.com/Babbytron,,,Safety Goggles,,,Life Orb,,,Covert Cloak,,,Loaded Dice,,,Sitrus Berry,,,Throat Spray,80,$250,View,https://pokepast.es/1ca893e3f9e1a193,No EVs,-,Private,,info from Embracing,,Brute Bonnet,Arcanine,Gothitelle,Gastrodon,Sylveon,Armarouge,,Loaded Dice,Safety Goggles,Sitrus Berry,Covert Cloak,Throat Spray,Life Orb,,Fire,Normal,Grass,Fire,Water,Dark,Fire,Normal,Grass,Fire,Water,Dark,2 Brute Bonnet,0 Arcanine,6 Gothitelle,1 Gastrodon,8 Sylveon,0 Armarouge,0 Arcanine,0 Armarouge,1 Gastrodon,2 Brute Bonnet,6 Gothitelle,8 Sylveon,Arcanine,Normal,Safety Goggles,Armarouge,Dark,Life Orb,Gastrodon,Fire,Covert Cloak,Brute Bonnet,Fire,Loaded Dice,Gothitelle,Grass,Sitrus Berry,Sylveon,Water,Throat Spray,,,,,,,,,Arcanine,Armarouge,Gastrodon,Brute Bonnet,Gothitelle,Sylveon,,"Brute Bonnet, Arcanine, Gothitelle, Gastrodon, Sylveon, Armarouge",,juan guzman,7,Ryan Burke,115,Andrew Gouck,19,Anthony Sabol,46,Sebastian Guerrero,2,Zach Carlson,15,Nick Navarre,40,Rex Reyes,56,Jake Magier,15,Luhou Shen,22
17,#2,Yes,9 - 1,9,1,USA,,Bhushan Thumsi,Bhushan Thumsi,,,Freezai,freezaiYT,freezaiYT,https://twitter.com/freezaiYT,,,Focus Sash,,,Leftovers,,,Choice Scarf,,,Lum Berry,,,Safety Goggles,,,Life Orb,60,-,View,https://pokepast.es/d545318bfd9485e2,https://media.discordapp.net/attachments/1063113131150282832/1072916852327591937/freezai_screenshot.png,https://youtu.be/9linMWq--ww,https://twitter.com/freezaiYT/status/1623293473657958403,,,,Tatsugiri,Maushold,Flutter Mane,Annihilape,Dondozo,Volcarona,,Choice Scarf,Safety Goggles,Life Orb,Lum Berry,Leftovers,Focus Sash,,Dragon,Ghost,Fairy,Fire,Steel,Water,Dragon,Ghost,Fairy,Fire,Steel,Water,1 Tatsugiri,5 Maushold,8 Flutter Mane,4 Annihilape,1 Dondozo,0 Volcarona,0 Volcarona,1 Dondozo,1 Tatsugiri,4 Annihilape,5 Maushold,8 Flutter Mane,Volcarona,Water,Focus Sash,Dondozo,Steel,Leftovers,Tatsugiri,Dragon,Choice Scarf,Annihilape,Fire,Lum Berry,Maushold,Ghost,Safety Goggles,Flutter Mane,Fairy,Life Orb,,,,,,,,,Volcarona,Dondozo,Tatsugiri,Annihilape,Maushold,Flutter Mane,,"Tatsugiri, Maushold, Flutter Mane, Annihilape, Dondozo, Volcarona",,Tom Hull,380,Gabriel Castaneda,48,Christopher Canway,96,Chuppa Cross,24,Rex Reyes,9,Giovanni Costa,6,Yichun Wu,4,Diego Gutierrez,3,Toler Webb,1,Emilio Forbes,1
18,#3,Yes,9 - 1,9,1,USA,,Yotam Cohen,Yotam Cohen,,,yotam,___yotam___,___yotam___,https://twitter.com/___yotam___,,,Sharp Beak,,,Covert Cloak,,,Life Orb,,,Assault Vest,,,Sitrus Berry,,,Booster Energy,60,-,View,https://pokepast.es/6473a673a4fb2c15,No EVs,-,https://twitter.com/___yotam___/status/1622270610138140672,Stream Round 9 (W),,,Tyranitar,Iron Bundle,Great Tusk,Gothitelle,Talonflame,Flutter Mane,,Assault Vest,Covert Cloak,Life Orb,Sitrus Berry,Sharp Beak,Booster Energy,,Flying,Ice,Ground,Dark,Ghost,Steel,Flying,Ice,Ground,Dark,Ghost,Steel,4 Tyranitar,1 Iron Bundle,4 Great Tusk,6 Gothitelle,0 Talonflame,8 Flutter Mane,0 Talonflame,1 Iron Bundle,4 Great Tusk,4 Tyranitar,6 Gothitelle,8 Flutter Mane,Talonflame,Ghost,Sharp Beak,Iron Bundle,Ice,Covert Cloak,Great Tusk,Ground,Life Orb,Tyranitar,Flying,Assault Vest,Gothitelle,Dark,Sitrus Berry,Flutter Mane,Steel,Booster Energy,,,,,,,,,Talonflame,Iron Bundle,Great Tusk,Tyranitar,Gothitelle,Flutter Mane,,"Tyranitar, Iron Bundle, Great Tusk, Gothitelle, Talonflame, Flutter Mane",,Ace Martin,368,Kyle Foley,118,Tahmid Rashid,35,Matthew Bopp,38,Dan Fitzpatrick,19,Juan Manuel Santizo,35,ANDREW MICHALOWSKI,13,Andrew Johnson,19,Nick Navarre,11,Giovanni Costa,3
19,#7,Yes,9 - 1,9,1,USA,,Paul Chua,Paul Chua,,,Paul,Paul_Chua_,Paul_Chua_,https://twitter.com/Paul_Chua_,,,Safety Goggles,,,Focus Sash,,,Sitrus Berry,,,Assault Vest,,,Choice Specs,,,Booster Energy,60,-,View,https://pokepast.es/3f23eb38ac425542,No EVs,-,https://twitter.com/Paul_Chua_/status/1622242095229550593,Stream Round 5 (W),,,Iron Bundle,Flutter Mane,Arcanine,Amoonguss,Iron Hands,Roaring Moon,,Focus Sash,Choice Specs,Safety Goggles,Sitrus Berry,Assault Vest,Booster Energy,,Ghost,Fairy,Dark,Dark,Grass,Flying,Ghost,Fairy,Dark,Dark,Grass,Flying,1 Iron Bundle,8 Flutter Mane,0 Arcanine,2 Amoonguss,4 Iron Hands,9 Roaring Moon,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,8 Flutter Mane,9 Roaring Moon,Arcanine,Dark,Safety Goggles,Iron Bundle,Ghost,Focus Sash,Amoonguss,Dark,Sitrus Berry,Iron Hands,Grass,Assault Vest,Flutter Mane,Fairy,Choice Specs,Roaring Moon,Flying,Booster Energy,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Flutter Mane,Roaring Moon,,"Iron Bundle, Flutter Mane, Arcanine, Amoonguss, Iron Hands, Roaring Moon",,Logan Allen,134,Johnny Perez,4,Bruce Llano,45,Enzo Reci,44,Joshua Lorcy,13,Sebastian Guerrero,10,Jeremy Gross,11,Arath Alejandro Vera Almaraz,5,Shiliang Tang,8,Marcus Dion,2
20,#10,Yes,8 - 2,8,2,USA,,Nick Navarre,Nick Navarre,,,Nails,NailsOU,NailsOU,https://twitter.com/NailsOU,,,Safety Goggles,,,Booster Energy,,,Sitrus Berry,,,Clear Amulet,,,Leftovers,,,Focus Sash,60,-,View,https://pokepast.es/00a243486434470c,https://media.discordapp.net/attachments/1041626109680295966/1073700289040896010/Orlando_Aditya_Subramanian_Nick_Navarre_FG6SWV.jpg,https://youtu.be/AtpuZTzUPwQ,https://twitter.com/NailsOU/status/1622242985566928902,Stream Round 9 (L),,,Iron Hands,Amoonguss,Iron Bundle,Gothitelle,Arcanine,Flutter Mane,,Clear Amulet,Sitrus Berry,Booster Energy,Leftovers,Safety Goggles,Focus Sash,,Fire,Water,Water,Steel,Dark,Ghost,Fire,Water,Water,Steel,Dark,Ghost,4 Iron Hands,2 Amoonguss,1 Iron Bundle,6 Gothitelle,0 Arcanine,8 Flutter Mane,0 Arcanine,1 Iron Bundle,2 Amoonguss,4 Iron Hands,6 Gothitelle,8 Flutter Mane,Arcanine,Dark,Safety Goggles,Iron Bundle,Water,Booster Energy,Amoonguss,Water,Sitrus Berry,Iron Hands,Fire,Clear Amulet,Gothitelle,Steel,Leftovers,Flutter Mane,Ghost,Focus Sash,,,,,,,,,Arcanine,Iron Bundle,Amoonguss,Iron Hands,Gothitelle,Flutter Mane,,"Iron Hands, Amoonguss, Iron Bundle, Gothitelle, Arcanine, Flutter Mane",,Carl Meixsell,229,Daniel Salmeron,193,Justin Stipe,14,Jonathan Melendez,3,Alex Eley,62,Max Gelman,36,Brendan Zheng,40,Wolfe Glick,12,Yotam Cohen,11,Philip Wesley,25
21,#16,Yes,8 - 2,8,2,USA,,Justin Carris,Justin Carris,,,AzazeL,AzazeL_the_God,AzazeL_the_God,https://twitter.com/AzazeL_the_God,,,Sharp Beak,,,Covert Cloak,,,Life Orb,,,Assault Vest,,,Sitrus Berry,,,Booster Energy,60,-,View,https://pokepast.es/ad5852e89dad60e3,No EVs,-,https://twitter.com/AzazeL_the_God/status/1622232536435810304,,,,Great Tusk,Gothitelle,Iron Bundle,Flutter Mane,Tyranitar,Talonflame,,Life Orb,Sitrus Berry,Covert Cloak,Booster Energy,Assault Vest,Sharp Beak,,Ground,Grass,Ice,Steel,Flying,Ghost,Ground,Grass,Ice,Steel,Flying,Ghost,4 Great Tusk,6 Gothitelle,1 Iron Bundle,8 Flutter Mane,4 Tyranitar,0 Talonflame,0 Talonflame,1 Iron Bundle,4 Great Tusk,4 Tyranitar,6 Gothitelle,8 Flutter Mane,Talonflame,Ghost,Sharp Beak,Iron Bundle,Ice,Covert Cloak,Great Tusk,Ground,Life Orb,Tyranitar,Flying,Assault Vest,Gothitelle,Grass,Sitrus Berry,Flutter Mane,Steel,Booster Energy,,,,,,,,,Talonflame,Iron Bundle,Great Tusk,Tyranitar,Gothitelle,Flutter Mane,,"Great Tusk, Gothitelle, Iron Bundle, Flutter Mane, Tyranitar, Talonflame",,Theo Tran,182,Zachary Schneck,2,Kevin Sidonio,48,Jianzheng Huang,188,John Galvin,56,Dylan Salvanera,44,Brady Smith,35,Raghav Malaviya,53,Cory Wilkinson,48,Brandon Tuchtenhagen,20
22,#18,Yes,8 - 2,8,2,USA,,Ian McLaughlin,Ian McLaughlin,,,raikoo,nickwilde,nickwilde,https://twitter.com/nickwilde,,,Focus Sash,,,Assault Vest,,,Psychic Seed,,,Safety Goggles,,,Life Orb,,,Clear Amulet,60,-,View,https://pokepast.es/9ae9821c1ed7b0a6,https://pbs.twimg.com/media/FoNfMRJXoAIsye7?format=jpg&name=large,-,https://twitter.com/nickwilde/status/1622244960144588801,,"info from his tweet, Ttar had Crunch over Ice Punch, he made a team error so rk9 teamlist is wrong",,Gholdengo,Indeedee-F,Garchomp,Lycanroc,Drifblim,Tyranitar,,Life Orb,Safety Goggles,Clear Amulet,Focus Sash,Psychic Seed,Assault Vest,,Steel,Ghost,Ground,Fighting,Flying,Flying,Steel,Ghost,Ground,Fighting,Flying,Flying,7 Gholdengo,5 Indeedee-F,9 Garchomp,4 Lycanroc,5 Drifblim,4 Tyranitar,4 Lycanroc,4 Tyranitar,5 Drifblim,5 Indeedee-F,7 Gholdengo,9 Garchomp,Lycanroc,Fighting,Focus Sash,Tyranitar,Flying,Assault Vest,Drifblim,Flying,Psychic Seed,Indeedee-F,Ghost,Safety Goggles,Gholdengo,Steel,Life Orb,Garchomp,Ground,Clear Amulet,,,,,,,,,Lycanroc,Tyranitar,Drifblim,Indeedee-F,Gholdengo,Garchomp,,"Gholdengo, Indeedee-F (Indeedee-Female), Garchomp, Lycanroc, Drifblim, Tyranitar",,Christian Mistich,298,Matthew Laughlin,36,Alexavier Alvarez,25,Toler Webb,21,James Flanagan,32,Collin Heier,18,Jake Muller,16,ARSAL PURI,8,Justin Burns,5,George Tifverman,6
23,#19,Yes,8 - 2,8,2,CAN,,Marcus Dion,Marcus Dion,,,Father Dijon,StriiderPKMN,StriiderPKMN,https://twitter.com/StriiderPKMN,,,Safety Goggles,,,Mystic Water,,,Sitrus Berry,,,Assault Vest,,,Leftovers,,,Focus Sash,60,-,View,https://pokepast.es/9db1963459bbe57e,Has EVs,https://youtu.be/6QwsCd9PZJU,https://twitter.com/StriiderPKMN/status/1622240480531554306,,,,Gothitelle,Amoonguss,Palafin,Iron Hands,Arcanine,Flutter Mane,,Leftovers,Sitrus Berry,Mystic Water,Assault Vest,Safety Goggles,Focus Sash,,Steel,Dark,Water,Grass,Dark,Fairy,Steel,Dark,Water,Grass,Dark,Fairy,6 Gothitelle,2 Amoonguss,1 Palafin,4 Iron Hands,0 Arcanine,8 Flutter Mane,0 Arcanine,1 Palafin,2 Amoonguss,4 Iron Hands,6 Gothitelle,8 Flutter Mane,Arcanine,Dark,Safety Goggles,Palafin,Water,Mystic Water,Amoonguss,Dark,Sitrus Berry,Iron Hands,Grass,Assault Vest,Gothitelle,Steel,Leftovers,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Arcanine,Palafin,Amoonguss,Iron Hands,Gothitelle,Flutter Mane,,"Gothitelle, Amoonguss, Palafin, Iron Hands, Arcanine, Flutter Mane",,Angel Torres,352,Andrew Davis,130,Joseph Ugarte,18,Michael Holloway,86,Tom Weiner,88,Will Adorno,42,Patrick Connors,41,Ashton Cox,16,Jonathan Melendez,13,Paul Chua,2
24,#20,,8 - 2,8,2,USA,,Anton Galkin,Anton Galkin,,,cocona,https://twitter.com/,,https://twitter.com/,,,Safety Goggles,,,Focus Sash,,,Eviolite,,,Assault Vest,,,Choice Specs,,,Choice Band,60,-,View,https://pokepast.es/5c383a77c645031d,No EVs,-,-,,,,Dragonite,Kingambit,Great Tusk,Arcanine,Flutter Mane,Murkrow,,Choice Band,Assault Vest,Focus Sash,Safety Goggles,Choice Specs,Eviolite,,Flying,Dark,Ground,Water,Fairy,Ghost,Flying,Dark,Ground,Water,Fairy,Ghost,9 Dragonite,7 Kingambit,4 Great Tusk,0 Arcanine,8 Flutter Mane,5 Murkrow,0 Arcanine,4 Great Tusk,5 Murkrow,7 Kingambit,8 Flutter Mane,9 Dragonite,Arcanine,Water,Safety Goggles,Great Tusk,Ground,Focus Sash,Murkrow,Ghost,Eviolite,Kingambit,Dark,Assault Vest,Flutter Mane,Fairy,Choice Specs,Dragonite,Flying,Choice Band,,,,,,,,,Arcanine,Great Tusk,Murkrow,Kingambit,Flutter Mane,Dragonite,,"Dragonite, Kingambit, Great Tusk, Arcanine, Flutter Mane, Murkrow",,Alessandro Forgione,299,Yuriy Livshits,38,Karan Samtani,59,Chris Wolfe,10,Jeremy Gross,11,Ryan Almeida,5,Allan Martinez,6,Toler Webb,1,ALEX UNDERHILL,3,Ben Grissmer,23
25,#21,Yes,8 - 2,8,2,USA,,Alex Underhill,ALEX UNDERHILL,,,Lexicon,LexiconVGC,LexiconVGC,https://twitter.com/LexiconVGC,,,Life Orb,,,Booster Energy,,,Sitrus Berry,,,Safety Goggles,,,Wide Lens,,,Focus Sash,60,-,View,https://pokepast.es/78d0971955e09327,No EVs,-,https://twitter.com/LexiconVGC/status/1622240295780859904,,info from Embracing,,Armarouge,Indeedee-F,Flutter Mane,Brute Bonnet,Maushold,Iron Hands,,Life Orb,Safety Goggles,Focus Sash,Booster Energy,Wide Lens,Sitrus Berry,,Grass,Fairy,Fairy,Fire,Ghost,Water,Grass,Fairy,Fairy,Fire,Ghost,Water,0 Armarouge,5 Indeedee-F,8 Flutter Mane,2 Brute Bonnet,5 Maushold,4 Iron Hands,0 Armarouge,2 Brute Bonnet,4 Iron Hands,5 Indeedee-F,5 Maushold,8 Flutter Mane,Armarouge,Grass,Life Orb,Brute Bonnet,Fire,Booster Energy,Iron Hands,Water,Sitrus Berry,Indeedee-F,Fairy,Safety Goggles,Maushold,Ghost,Wide Lens,Flutter Mane,Fairy,Focus Sash,,,,,,,,,Armarouge,Brute Bonnet,Iron Hands,Indeedee-F,Maushold,Flutter Mane,,"Armarouge, Indeedee-F (Indeedee-Female), Flutter Mane, Brute Bonnet, Maushold, Iron Hands",,Gerrad Carson,300,Vijay Sood,192,Joshua Marcotte,33,Baby Singh,5,Aaron Traylor,7,ARSAL PURI,1,Matthew Pencille,20,Sebastian Guerrero,6,Anton Galkin,3,Aditya Subramanian,5
